,label,review_clean
0,neutral,nikmati cicilanhinggabulan untuk pemesanan tiket pesawat air asia dengan kartu kredit bni 
1,positive,kue kue yang disajikan bikin saya bernostalgia semuanya tipikal kue zaman dulu baik dari penampilan maupun rasa kuenya enak dan harganya juga murah 
2,neutral,ibu pernah bekerja di grab indonesia
3,positive,paling suka banget makan siang di sini ayam sama sambalnya enak banget harganya luar biasa hemat rasa ayamnya meresap sampai ketulangnya es lidah buayanya juga segar bikin adem perut setelah makan sambal yang pedas pelayannya sigap dan ramah yang aku suka di tempat kasir ada tulisandisumbangkan untuk beramal buat makan jadi lebih enak ke perut
4,positive,pelayanan bus damri sangat baik
5,neutral,mau bikin postingan yang isinya mengedukasi customers gojek 
6,neutral,ratusan rumah di medan terendam banjir
7,negative,barangnya lumayan cuma yang saya heranomi redmi noteini tombol onnya memang agak rusak terus baterai memang cepat low bat juragan 
8,negative,sulit sekali mempercayai orang yang sudah pernah berkhianat
9,positive,lokasi di gombel dengan pemandangan semarang datanglah malam karena lampu kota akan terlihat makanan enak steak dan teh hangat menu wajib di sini ambil spot di luar karena udara dingin dan sejuk
10,positive,waktu itu ke sini pesan nasi goreng dan kentang goreng nasi gorengnya semua suka kentang gorengnya enak banget dan presentasinya bagus keluarga bilang kopinya enak hal yang sangat baik di sini adalah tempatnya luas dan yang di luar bisa lihat pemandangan dusun bambu tapi pelayanannya tidak cepat sehingga saya harus bertanya beberapa kali tentang pesanan saya harganya cukup mahal namun karena makanannya enak semua jadi terbayarkan tidak perlu pikir dua kali jika mau ke tempat ini lagi 
11,negative,nasi goreng thailand di hargaribu polos hanya ada suir ayam sedikit seafoodnya tidak ada 
12,negative,seperti yang kita tahu brownies yang asli dari amerika adalah kue bantat yang memang berwarna cokelat toko amanda mengkreasikan brownies dengan memasaknya secara mengukus brownies kukus ini sama sekali nggak banget teksturnya malah sama dengan bolu biasa jadi menurut saya ini bukan brownies 
13,positive,jika datang ke restoran ini sangat cocok pada sore dan malam hari membawa pasangan untuk menikmati makan malam yang romantis dan pemandangan yang sangat menakjubkan
14,positive,pengalaman pertama cukup mengesankan karena cukup kaget ternyata setelah selesai memesan makanan salah satu staf memberikan daun pisang ke meja saya bukan piring atau sendok jadi jika makan di sini bersiaplah untuk makan menggunakan tangan karena kita akan merasakan sensasi yang unik ditambah alas makannya daun pisang 
15,positive,salah satu area kuliner yang cukup menggugah selera namun jadi bingung juga milihnya akhirnya ku coba kerak telur dan mie kocok sembari mendengarkan pertunjukan musik dengan lagu lagu nostalgia barat cukup direkomendasikan 
16,neutral,untuk memastikannya ibu bisa datang ke kantor cab bank mandiri tersebut pada hari dan jam kerja untuk penukaran uang 
17,neutral,naik kereta jayabaya malang jakarta berhenti di gubeng tiketribu plus asuransiribu via traveloka
18,neutral,dpr memberi apresiasi atas keikutsertaan perempuan pada pilkada
19,negative,saya datang untuk makan malam bersama keluarga ini pertama kali saya ke sini kondisi tidak terlalu ramai untuk interior agak kotor menurut saya adanya remah remah bekas makanan di lantai dan meja sepertinya tidak dibersihkan secara sempurna untuk rasa makanan standar tidak terlalu istimewa 
20,neutral,tolong bilang ke anggota dewan jangan lupa revisi perppu ormas dan ingatkan janjinya kalau perppu tidak direvisi berbagai elemen masyarakat akan mengeluarkan sikap 
21,positive,keripik singkong itu makanan ringan terenak dan tepat buat menemani waktu tugas
22,positive,batagor dan siomay kingsley ini tidak mempunyai cabang di tempat lain makanannya enak terutama batator dan siomay serta basonya dan tidak pakai pengawet dan jika ingin buat oleh oleh ada paket yang bisa dibawa pulang dipertahankan lagi kualitasnya 
23,negative,jangan pernah pesan melalui layanan ini ya teman teman mengecewakan villa nya kotor semua peralatannya tidak layak pakai
24,neutral,pendaftaran mulai esok kementerian kominfo buka beasiswa pelatihan digital untukorang
25,negative,sebagai netijen yang baru april lalu piknik ke toba hanya mau bilang bahwa benar banyak hal yang mengecewakan dari sistem pariwisata di sana parapat nya kotor susah cari akomodasi yang benar benar bagus agen transportasi tidak profesional pokoknya tidak direkomendasikan pergi ke parapat 
26,negative,kotor banget dan tidak di hiraukan oleh pelayan restoran mengecewakan sekali pelayanannya 
27,negative,tempatnya menurut saya biasa saja kurang bersih makanannya pun biasa saja 
28,negative,untuk usaha yang dikeluarkan ke tempat ini hasilnya biasa biasa saja yang mengecewakan adalah kualitas makanannya makanan hanya sekedar masak saja untuk kelas kuliner bandung yang enak enak ini mengecewakan ada karcis masuk per orangdan mobil
29,positive,saya sekeluarga sedang cari tempat makan habis nonton kami bosan makan di resto kafe di mal tiba tiba terlihat resto di kanan jalan sudah lama kami tidak makan kari mampirlah kami ke resto yang tergolong kecil hanyameja ternyata enak tempat dan makanannya 
30,positive,kopi starbucks kenapa bisa enak banget sih
31,neutral,katanya di sana akan dibangun transmart di sebelah bangunan itu 
32,positive,sungguh pengalaman unik makan di tengah sawah di antara padi yang hampir menguning dengan pilihan menu yang variatif penyajian yang menarik dan menggugah selera 
33,positive,makan bersama dengan para sistah beberapa waktu yang lalu tempat nyaman enak buat nongkrong pelayanan bagus dah beberapa kali makan di sini 
34,positive,tempat oleh olehnya lengkap dan cukup nyaman mudah dijangkau harganya terjangkau serta pelayanannya ramah
35,neutral,hai eviana mohon maaf atas ketidaknyamanannya untuk kontak dari indosat dapat mengakses tautan ini silakan pengecekan ya terima kasih erf
36,positive,menunya indomie sama roti bakar untuk tempat sama seperti cabang yang lainnya nyaman buat kumpul 
